,user_id_hashed,#business,#sports,#fun_facts,#international,#animals,#national,#health_n_fitness,#entertainment,#fashion,#automotive,#food,#technology,#travel,#games,#music,n/a
2159,tb48Y0Js6qmtmmPiH0JC0GrCot9RD4NRW5ajCg==,"[0, 0]","[0, 0]","[1.0, 357215.0]","[0, 0]","[1.0, 640073.0]","[5.0, 105067.0]","[0, 0]","[0, 0]","[0, 0]","[3.0, 74599.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 22012.0]","[0, 0]","[6.0, 119599.0]"
2160,nRKwn/SkaTgBeoI1NS1rrpO8YCqkUaWmQxViUg==,"[0, 0]","[1.0, 23810.0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 739.0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 54604.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
2161,3fo19uCBv8KFW24gkakg1+vjjfDqEcs588aHBA==,"[10.5, 91248.0]","[0, 0]","[10.0, 16917.0]","[14.0, 37381.5]","[11.0, 26458.0]","[25.0, 151921.5]","[7.0, 51695.0]","[0, 0]","[0, 0]","[4.0, 18589.0]","[6.0, 136159.0]","[13.5, 97021.0]","[4.0, 15852.0]","[18.0, 182979.0]","[5.0, 5631.0]","[10.0, 90199.5]"
2162,uXEqIubRUumD5q8ieLCK4Cn2/gPEK09fX0jBag==,"[2.0, 38041.0]","[1.0, 3084.0]","[2.0, 11144.0]","[1.0, 107076.0]","[0, 0]","[3.0, 38794.0]","[0, 0]","[0, 0]","[1.0, 57247.0]","[0, 0]","[0, 0]","[1.0, 31489.0]","[1.0, 6327.0]","[1.0, 515.0]","[0, 0]","[2.0, 48078.0]"
2163,vzW2EQQbxydrGW0VcIWi/HH9WmyNRsIhItUoDQ==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 3651.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
2164,Cu5k0+rgdskVq+ZH80n68LRdG2o3ZZHKmQDZxQ==,"[1.0, 1200.0]","[1.0, 454.0]","[0, 0]","[1.0, 2543.0]","[2.0, 3622.0]","[0, 0]","[0, 0]","[1.0, 786.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 810.0]","[2.0, 9419.0]","[0, 0]","[2.0, 2009.0]"
2165,RpKLZqhQioZo9XModV/4dnOx5asakEpFNXgJIQ==,"[2.0, 5399.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2.0, 2249.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 863.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1, 4232.0]"
2166,NtvpioxxXsNOry/WH8ERM4tsE13jO3trFbltxQ==,"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[1.0, 1023.0]","[1.0, 4626.0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
2167,SgpXWKJu0CN6hEWjSn+vD5MEdJ8j6QG99UphpA==,"[3.0, 3062.0]","[6.0, 11459.0]","[0, 0]","[2.0, 2868.0]","[4.0, 12369.0]","[3.0, 7942.0]","[0, 0]","[2.0, 2002.0]","[4.0, 9203.0]","[1.0, 2414.0]","[1.0, 2043.0]","[1.0, 1343.0]","[2.0, 11893.0]","[0, 0]","[0, 0]","[0, 0]"
2168,NwZRvobx8WxG5AQfu/o2gL4UKYBRkt+cqiYAfQ==,"[1.0, 859.0]","[0, 0]","[0, 0]","[1.0, 1137.0]","[3.0, 10174.0]","[1.0, 1078.0]","[0, 0]","[0, 0]","[1.0, 22026.0]","[0, 0]","[0, 0]","[1.0, 2156.0]","[1.0, 1554.0]","[0, 0]","[0, 0]","[0, 0]"
